shop_name,shop_business,shop_website,telephone_number,street_address,state,postal_code,star_rating,last_updated_at_UTC
Coco,Cafes and Coffee Shops,http://www.coco-tea.com,020 7831 3945,"52 Dean Street, Chinatown,",LONDON,W1D 5BL,,05-Nov-2021 13:39:57
Flocafe,Cafes and Coffee Shops,http://www.flocafe.gr,020 7734 3559,"83 Shaftesbury Avenue,",London,W1D 5DX,,05-Nov-2021 13:39:57
Creme De La Crepe,Cafes and Coffee Shops,http://www.cremedelacrepe.co.uk,020 7836 6896,"Unit 29 The Market The Piazza,",London,WC2E 8RE,,05-Nov-2021 13:39:57
Z Cafe,Cafes and Coffee Shops,http://thezhotels.com,020 3551 3701,"14 Moor St,",London,W1D 5AP,,05-Nov-2021 13:39:57
Fernandez & Wells,Cafes and Coffee Shops,http://www.fernandezandwells.com,020 7287 8124,"73 Beak St,",London,W1F 9SR,4.7 out of 5 stars from 9 ratings,05-Nov-2021 13:39:57
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7930 9596,"15 Westminster,",London,SW1Y 4LR,,05-Nov-2021 13:39:57
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7836 6231,"10 Russell St,",London,WC2B 5HZ,,05-Nov-2021 13:39:57
Benugo Cafe,Cafes and Coffee Shops,http://www.benugo.com,020 7836 9773,"63 Long Acre,",London,WC2E 9JN,,05-Nov-2021 13:39:57
Soho Coffee Company,Cafes and Coffee Shops,http://www.sohocoffee.co.uk,020 3358 6774,"138-139 Strand,",LONDON,WC2R 1QA,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7287 0971,"97-99 Charing Cross Rd,",London,WC2H 0DP,,05-Nov-2021 13:39:57
Notes,Cafes and Coffee Shops,http://www.notes-uk.squarespace.com/,020 7240 7899,"36 Wellington Street, Covent Garden,",LONDON,WC2E 7BD,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.com,020 7836 6346,"2 Lancaster Place,",London,WC2E 7EA,,05-Nov-2021 13:39:57
Ocraquelin Patisserie,Cafes and Coffee Shops,,07401 983475,"42 Tavistock Street,",London,WC2E 7PB,,05-Nov-2021 13:39:57
Yi Fang,Cafes and Coffee Shops,http://www.yifangtea.co.uk,020 7078 4214,"13 Moor Street,",London,W1D 5NH,,05-Nov-2021 13:39:57
Gelatorino Ltd,Cafes and Coffee Shops,http://www.gelatorino.com,020 7240 0746,"2 Russell St,",London,WC2B 5JD,,05-Nov-2021 13:39:57
St James Cafe,Cafes and Coffee Shops,,020 7930 1420,"41 Pall Mall,",London,SW1Y 5JG,,05-Nov-2021 13:39:57
Petit Coffeee Shop,Cafes and Coffee Shops,,020 7439 4499,"ground floor, 10 Lower John St,",London,W1F 9EA,,05-Nov-2021 13:39:57
Costa,Cafes and Coffee Shops,https://www.costa.co.uk,020 7379 5448,"44144 Kingsway,",London,WC2B 6AN,,05-Nov-2021 13:39:57
Starbucks Coffee Co (UK) Ltd,Cafes and Coffee Shops,http://www.starbucks.co.uk,020 7287 9981,"76 Regent St,",London,W1B 5RA,,05-Nov-2021 13:39:57
Syrup of Soot Ltd,Cafes and Coffee Shops,http://www.syrupofsoot.com,020 7242 1022,"38 Museum St,",London,WC1A 1LP,4.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
Franx Snack Bar,Cafes and Coffee Shops,,020 7836 7989,"192 Shaftesbury Avenue,",London,WC2H 8JL,,05-Nov-2021 13:39:57
The Manette,Cafes and Coffee Shops,http://www.manettecafe.co.uk,020 7287 0456,"16 Manette Street,",London,W1D 4AR,,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/93-95-wardour-st,020 7932 5261,"95-95 Wardour St Soho,",London,W1F 0UE,,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/3-duke-of-york,020 7839 6390,"3 Duke of York,",London,SW1Y 6JP,,05-Nov-2021 13:39:57
Higher Grounds Coffee Dealers,Cafes and Coffee Shops,,020 7440 3207,"113-119 Charing Cross Rd,",London,WC2H 0EB,,05-Nov-2021 13:39:57
Cafe de Providence,Cafes and Coffee Shops,,020 7497 2757,"14 Drury Lane, Holborn,",LONDON,WC2B 5RB,,05-Nov-2021 13:39:57
The Black Penny,Cafes and Coffee Shops,http://www.theblackpenny.co.uk,020 7242 2580,"34 Great Queen St,",London,WC2B 5AA,,05-Nov-2021 13:39:57
Mont Ruby Tea,Cafes and Coffee Shops,,020 7437 0439,"100 Shaftesbury Avenue,",London,W1D 5EE,,05-Nov-2021 13:39:57
Cakes & Bubbles,Cafes and Coffee Shops,http://hotelcaferoyal.com,020 7406 3310,"68A Regent Street, Soho,",LONDON,W1B 5RJ,,05-Nov-2021 13:39:57
Il Panino,Cafes and Coffee Shops,,020 7405 3825,"21 Newton St,",London,WC2B 5EL,5.0 out of 5 stars from 2 ratings,05-Nov-2021 13:39:57
Double Shot,Cafes and Coffee Shops,,020 7240 9742,"38A Tavistock Street, Covent Garden,",LONDON,WC2E 7PB,,05-Nov-2021 13:39:57
Costa Pronto,Cafes and Coffee Shops,https://www.costa.co.uk,020 7321 2315,"Bridge Street,",London,SW1A 2JR,,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,https://locations.pret.co.uk/london/35-frith-street,020 7287 6729,"35 Frith St,",London,W1D 5LQ,,05-Nov-2021 13:39:57
Beany,Cafes and Coffee Shops,http://www.daisygreenfood.com/,,"Belvedere Road,",LONDON,SE1 8XX,,05-Nov-2021 13:39:57
Greggs,Cafes and Coffee Shops,http://www.greggs.co.uk,020 7240 5396,"143 The Strand, Westminster,",London,WC2R 1JA,,05-Nov-2021 13:39:57
Cafe W,Cafes and Coffee Shops,https://www.waterstones.com,020 7851 2400,"203-205 Piccadilly,",London,W1J 9HD,,05-Nov-2021 13:39:57
Tsujiri,Cafes and Coffee Shops,http://www.tsujiri.co.uk,07445 521929,"47 Rupert St,",London,W1D 7PD,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7240 2471,"7b Kingsway,",London,WC2B 6XG,,05-Nov-2021 13:39:57
Fernandez & Wells,Cafes and Coffee Shops,http://www.fernandezandwells.com,020 3302 9799,"1-3 Denmark Street, Charing Cross,",LONDON,WC2H 8LP,,05-Nov-2021 13:39:57
Joe & The Juice,Cafes and Coffee Shops,http://www.joejuice.com/,,"46 Dean Street, Soho,",LONDON,W1D 4QD,,05-Nov-2021 13:39:57
Presotea,Cafes and Coffee Shops,,020 7287 0627,"80 Dean Street,",London,W1D 3SL,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7520 5150,"Customer Services, 9-15, Neal St,",London,WC2H 9PW,,05-Nov-2021 13:39:57
The Breakfast Club,Cafes and Coffee Shops,https://thebreakfastclubcafes.com/,020 3727 5543,"11 Berwick Street,",London,W1F 0PL,,05-Nov-2021 13:39:57
Share Tea,Cafes and Coffee Shops,,020 7734 9097,"65 Shaftesbury Avenue, Chinatown,",LONDON,W1D 6LH,,05-Nov-2021 13:39:57
Lick,Cafes and Coffee Shops,http://www.lick-gelato.com,020 8617 0042,"55 Greek St,",London,W1D 3DT,,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk/en-GB,020 7932 5335,"55 Frith St,",London,W1D 4SJ,,05-Nov-2021 13:39:57
Machi Machi,Cafes and Coffee Shops,,,"59 Shaftesbury Avenue, Chinatown,",LONDON,W1D 6LF,,05-Nov-2021 13:39:57
Flat White,Cafes and Coffee Shops,http://www.flatwhitecafe.com/,020 7734 0370,"17 Berwick St,",London,W1F 0PT,,05-Nov-2021 13:39:57
Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk?utm_source=yell&utm_medium=refferal&utm_campaign=yell,020 7494 6842,"79-81 Regent St,",London,W1B 4EG,,05-Nov-2021 13:39:57
26 Grains,Cafes and Coffee Shops,http://www.26grains.com,,"1 Neal's Yard, Covent Garden,",LONDON,WC2H 9DP,,05-Nov-2021 13:39:57
Cafe Ritazza,Cafes and Coffee Shops,http://www.ritazza.com,020 7494 9665,"Malta House, 36-38, Piccadilly,",London,W1J 0DP,,05-Nov-2021 13:39:57
Jacob The Angel,Cafes and Coffee Shops,http://www.jacobtheangel.co.uk,,"16A Neal's Yard, Covent Garden,",LONDON,WC2H 9DP,,05-Nov-2021 13:39:57
Coco Di Mama,Cafes and Coffee Shops,https://www.cocodimama.co.uk/,020 7379 5496,"15 Kingsway,",London,WC2B 6UN,,05-Nov-2021 13:39:57
Yolo,Cafes and Coffee Shops,,07912 349609,"1 Tower Street, Covent Garden,",LONDON,WC2H 9NP,,05-Nov-2021 13:39:57
The Breakfast Club,Cafes and Coffee Shops,http://www.thebreakfastclubcafes.com,020 7434 2571,"33 D'Arblay St,",London,W1F 8EU,3.9 out of 5 stars from 13 ratings,05-Nov-2021 13:39:57
Pride Kitchen,Cafes and Coffee Shops,http://www.pride.kitchen,020 7836 2779,"2B Neal's Yard, Covent Garden,",LONDON,WC2H 9DP,,05-Nov-2021 13:39:57
Cakes & Bubbles,Cafes and Coffee Shops,http://hotelcaferoyal.com,020 7406 3310,"68a Regent Street,",London,W1B 5RJ,,05-Nov-2021 13:39:57
My Cup of Tea,Cafes and Coffee Shops,http://www.mycupoftea.co.uk,020 7287 2255,"Unit 5 Denman Place,",London,W1D 7HH,,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk/en-GB,020 7932 5271,"135 Strand,",London,WC2R 1HH,,05-Nov-2021 13:39:57
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7836 5951,"39 Shelton St, Camden,",London,WC2H 9HJ,,05-Nov-2021 13:39:57
St James Kitchen,Cafes and Coffee Shops,,020 3583 7552,"36 St James's St,",London,E17 7PF,5.0 out of 5 stars from 2 ratings,05-Nov-2021 13:39:57
Bibi's Kitchen,Cafes and Coffee Shops,,,"5 Smiths Court, Haymarket,",LONDON,W1D 7DW,,05-Nov-2021 13:39:57
The River Terrace,Cafes and Coffee Shops,http://www.somersethouse.org.uk,020 7845 4646,"150 Strand, Charing Cross,",LONDON,WC2R 0RN,,05-Nov-2021 13:39:57
Damson & Company,Cafes and Coffee Shops,,,"21 Brewer Street, Soho,",LONDON,W1F 0RL,,05-Nov-2021 13:39:57
The River Terrace,Cafes and Coffee Shops,http://www.somersethouse.org.uk,020 7845 4646,"150 Strand, Charing Cross,",LONDON,WC2R 1JA,,05-Nov-2021 13:39:57
Poetry Cafe,Cafes and Coffee Shops,http://www.poetrysociety.org.uk,020 7420 9888,"22 Betterton St,",London,WC2H 9BX,3.5 out of 5 stars from 4 ratings,05-Nov-2021 13:39:57
Grace 40,Cafes and Coffee Shops,https://www.facebook.com/Grace-40-513267219079094,07786 367880,,Bromley,,5.0 out of 5 stars from 3 ratings,05-Nov-2021 13:39:57
The Coffee Place,Cafes and Coffee Shops,http://thecoffeeplace.info/,07491 602335,"61-63 Woodhouse Rd,",London,N12 9ET,5.0 out of 5 stars from 1 rating,05-Nov-2021 13:39:57
MAK Tea & Coffee Bar,Cafes and Coffee Shops,http://www.makteaandcoffeebar.co.uk,07956 891199,"513 Kingsbury Rd,",London,NW9 9EG,,05-Nov-2021 13:39:57
Nature's Nest,Cafes and Coffee Shops,http://www.naturesnest-online.com,020 8519 5681,"38 Totteridge Lane,",London,N20 9QJ,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7240 9399,"10a Bedford Street,",London,WC2E 9HE,,05-Nov-2021 13:39:57
Filli Europe Ltd,Cafes and Coffee Shops,,020 3982 3679,"21 Charing Cross Rd,",London,WC2H 0ET,,05-Nov-2021 13:39:57
Costa Pronto,Cafes and Coffee Shops,http://www.costa.co.uk,,"Cranbourn Street, Chinatown,",LONDON,WC2H 7AG,,05-Nov-2021 13:39:57
Caffe Nero,Cafes and Coffee Shops,http://www.caffenero.co.uk,020 7836 6772,"32 Cranbourn St,",London,WC2H 7AD,,05-Nov-2021 13:39:57
Caffe Concerto,Cafes and Coffee Shops,http://www.caffeconcerto.co.uk,020 7494 6846,"43 Whitehall,",London,SW1A 2BX,,05-Nov-2021 13:39:57
Caffe Italiano,Cafes and Coffee Shops,,020 7930 4727,"1 Irving Street, Chinatown,",LONDON,WC2H 7AT,,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,https://www.pret.co.uk/en-GB,020 7932 5246,"52 Haymarket,",London,SW1Y 4RP,4.5 out of 5 stars from 2 ratings,05-Nov-2021 13:39:57
La Chandelle,Cafes and Coffee Shops,,020 7930 4727,"2-3 Irving Street, Chinatown,",LONDON,WC2H 7AT,1.0 out of 5 stars from 2 ratings,05-Nov-2021 13:39:57
Pret a Manger,Cafes and Coffee Shops,http://www.pret.com,020 7839 3995,"5 Pall Mall East,",London,SW1Y 5BA,,05-Nov-2021 13:39:57
Eli's Espresso Bar,Cafes and Coffee Shops,,020 7240 7810,"28 Bedfordbury,",London,WC2N 4BJ,,05-Nov-2021 13:39:57
Yaki Yaki,Cafes and Coffee Shops,http://yakiyaki.co.uk,,"4 New Row, Charing Cross,",LONDON,WC2N 4LH,,05-Nov-2021 13:39:57
Embankment Cafe,Cafes and Coffee Shops,,020 7930 1471,"25 Victoria Embankment,",London,WC2R 2PN,,05-Nov-2021 13:39:57
Monmouth Coffee Co.Ltd,Cafes and Coffee Shops,http://www.monmouthcoffee.co.uk,020 7232 3010,"27 Monmouth St,",London,WC2H 9DD,4.5 out of 5 stars from 18 ratings,05-Nov-2021 13:39:57
Maison Bertaux Ltd,Cafes and Coffee Shops,http://www.maisonbertaux.com,020 7437 6007,"28 Greek St,",London,W1D 5DQ,4.6 out of 5 stars from 12 ratings,05-Nov-2021 13:39:57
Canela Covent Garden Ltd,Cafes and Coffee Shops,http://www.canelacafe.com,020 7240 6926,"33 Earlham St,",London,WC2H 9LS,4.1 out of 5 stars from 14 ratings,05-Nov-2021 13:39:57
The Covent Garden Kafeneo,Cafes and Coffee Shops,http://www.kafeneo.co.uk,020 7240 8577,"12-14 Tavistock St,",London,WC2E 7PH,,05-Nov-2021 13:39:57
Host,Cafes and Coffee Shops,http://www.hostcoffee.co.uk,,"31 Henrietta Street, Covent Garden,",LONDON,WC2E 8NA,,05-Nov-2021 13:39:57
Coffee Club App Limited,Cafes and Coffee Shops,http://www.coffeeclub.cc,07977 042253,"42 Cranbourn St,",London,WC2H 7AN,,05-Nov-2021 13:39:57
Costa Coffee,Cafes and Coffee Shops,http://www.costa.co.uk,020 7494 2456,"Leicester Square Station, Westminster,",London,WC2H 0AP,,05-Nov-2021 13:39:57
Viet Cafe,Cafes and Coffee Shops,,0207839 3246,"23 Haymarket,",London,SW1Y 4DG,,05-Nov-2021 13:39:57
Costa,Cafes and Coffee Shops,http://www.costa.co.uk,,"39A Coventry Street, Chinatown,",LONDON,W1D 6BZ,,05-Nov-2021 13:39:57
